threat_id,type,severity,description,indicators
1,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL"
2,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4"
3,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, CVE"
4,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4, URL, YARA"
5,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
6,phishing,3,Phishing threat detected. URL compromised.,"CVE, IPv4"
7,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"domain, hostname, URL, FileHash-SHA256"
8,ransomware,1,Ransomware threat detected. File Hash compromised.,"URL, hostname"
9,phishing,5,Phishing threat detected. URL compromised.,domain
10,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,domain
11,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
12,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, hostname, URL"
13,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1"
14,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"IPv4, FileHash-SHA256"
15,social-engineering,3,Social engineering threat detected. URL compromised.,IPv4
16,phishing,3,Phishing threat detected. URL compromised.,"domain, IPv4, hostname"
17,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
18,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
19,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, IPv4"
20,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
21,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, URL, hostname"
22,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, URL"
23,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
24,ransomware,5,Ransomware threat detected. File Hash compromised.,"CVE, domain"
25,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
26,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
27,denial-of-service,5,Denial-of-service threat detected. IP compromised.,domain
